,edibility,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkRoot,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,veilType,veilColor,ringNumber,ringType,sporePrintColor,population,habitat
0,1,5,2,4,1,6,1,0,1,4,0,2,2,2,7,7,0,2,1,4,2,3,5
1,0,5,2,9,1,0,1,0,0,4,0,1,2,2,7,7,0,2,1,4,3,2,1
2,0,0,2,8,1,3,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,2,3
3,1,5,3,8,1,6,1,0,1,5,0,2,2,2,7,7,0,2,1,4,2,3,5
4,0,5,2,3,0,5,1,1,0,4,1,2,2,2,7,7,0,2,1,0,3,0,1
5,0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,0,2,1,4,2,2,1
6,0,0,2,8,1,0,1,0,0,2,0,1,2,2,7,7,0,2,1,4,2,2,3
7,0,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,3,3
8,1,5,3,8,1,6,1,0,1,7,0,2,2,2,7,7,0,2,1,4,2,4,1
9,0,0,2,9,1,0,1,0,0,2,0,1,2,2,7,7,0,2,1,4,2,3,3
10,0,5,3,9,1,3,1,0,0,2,0,1,2,2,7,7,0,2,1,4,3,2,1
11,0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,0,2,1,4,2,3,3
12,0,0,2,9,1,0,1,0,0,10,0,1,2,2,7,7,0,2,1,4,3,3,1
13,1,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,0,2,1,4,3,4,5
14,0,5,0,4,0,5,1,1,0,5,1,2,2,0,7,7,0,2,1,0,2,0,1
15,0,4,0,3,0,5,1,0,1,4,0,2,2,2,7,7,0,2,1,4,3,5,5
16,0,2,0,8,0,5,1,1,0,4,1,2,2,2,7,7,0,2,1,0,3,0,1
17,1,5,2,4,1,6,1,0,1,5,0,2,2,2,7,7,0,2,1,4,2,3,1
18,1,5,3,8,1,6,1,0,1,5,0,2,2,2,7,7,0,2,1,4,3,3,5
19,1,5,2,4,1,6,1,0,1,4,0,2,2,2,7,7,0,2,1,4,3,3,5
20,0,0,2,9,1,0,1,0,0,4,0,1,2,2,7,7,0,2,1,4,3,3,3
21,1,5,3,4,1,6,1,0,1,5,0,2,2,2,7,7,0,2,1,4,3,4,1
22,0,0,3,9,1,3,1,0,0,4,0,1,2,2,7,7,0,2,1,4,3,3,3
23,0,0,3,8,1,0,1,0,0,10,0,1,2,2,7,7,0,2,1,4,3,2,3
24,0,0,2,8,1,3,1,0,0,2,0,1,2,2,7,7,0,2,1,4,2,3,3
25,1,2,2,8,1,6,1,0,1,5,0,2,2,2,7,7,0,2,1,4,3,4,1
26,0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,2,3
27,0,5,3,8,1,3,1,0,0,10,0,1,2,2,7,7,0,2,1,4,3,2,3
28,0,2,0,4,0,5,1,0,1,4,0,2,2,2,7,7,0,2,1,4,2,5,5
29,0,5,2,9,1,0,1,1,1,5,1,0,2,2,7,7,0,2,1,4,3,4,0
30,0,0,2,9,1,3,1,0,0,2,0,1,2,2,7,7,0,2,1,4,3,2,3
31,1,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,0,2,1,4,3,3,5
32,0,5,3,9,1,3,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,2,3
33,0,5,3,4,1,3,1,0,0,7,0,3,2,3,7,7,0,2,1,4,3,5,4
34,0,0,3,9,1,3,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,3,3
35,0,5,0,9,1,3,1,1,1,10,1,0,2,2,7,7,0,2,1,4,3,4,0
36,0,4,0,3,0,5,1,0,1,4,0,2,2,2,7,7,0,2,1,4,2,4,5
37,1,5,3,4,1,6,1,0,1,10,0,2,2,2,7,7,0,2,1,4,3,3,5
38,0,5,0,9,1,0,1,1,1,7,1,0,2,2,7,7,0,2,1,4,3,4,0
39,0,0,2,9,1,3,1,0,0,4,0,1,2,2,7,7,0,2,1,4,2,3,3
40,0,0,3,9,1,0,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,3,1
41,0,5,3,9,1,3,1,0,0,5,0,3,2,3,7,7,0,2,1,4,2,5,4
42,0,5,0,4,0,5,1,0,1,2,0,2,2,2,7,7,0,2,1,4,2,5,5
43,1,5,3,8,1,6,1,0,1,7,0,2,2,2,7,7,0,2,1,4,3,4,1
44,0,5,2,9,1,0,1,0,0,10,0,1,2,2,7,7,0,2,1,4,2,2,3
45,0,5,3,8,1,0,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,2,1
46,0,5,3,9,1,3,1,0,0,4,0,1,2,2,7,7,0,2,1,4,2,3,3
47,0,5,2,8,1,3,1,0,0,10,0,1,2,2,7,7,0,2,1,4,3,2,3
48,0,5,3,9,1,3,1,0,0,5,0,3,2,3,7,7,0,2,1,4,3,3,4
49,0,2,3,9,1,3,1,0,0,10,0,3,2,3,7,7,0,2,1,4,2,3,4
50,0,5,3,4,1,0,1,0,0,10,0,3,2,3,7,7,0,2,1,4,2,3,1
51,0,5,2,8,1,3,1,0,0,4,0,1,2,2,7,7,0,2,1,4,2,3,1
52,0,0,2,8,1,3,1,0,0,4,0,1,2,2,7,7,0,2,1,4,3,2,3
53,1,5,3,4,1,6,1,0,1,4,0,2,2,2,7,7,0,2,1,4,3,4,5
54,1,5,2,8,1,6,1,0,1,4,0,2,2,2,7,7,0,2,1,4,2,4,5
55,0,0,3,9,1,0,1,0,0,10,0,1,2,2,7,7,0,2,1,4,2,3,3
56,0,2,0,3,0,5,1,1,0,5,1,2,2,2,7,7,0,2,1,0,3,0,1
57,0,0,2,8,1,0,1,0,0,10,0,1,2,2,7,7,0,2,1,4,3,2,1
58,0,5,2,9,1,3,1,0,0,4,0,1,2,2,7,7,0,2,1,4,2,2,1
59,0,5,3,4,1,0,1,0,0,7,0,3,2,3,7,7,0,2,1,4,2,5,4
60,0,4,0,3,0,5,1,0,1,4,0,2,2,2,7,7,0,2,1,4,3,4,5
61,0,0,3,9,1,0,1,0,0,4,0,1,2,2,7,7,0,2,1,4,3,3,3
62,0,0,2,9,1,3,1,0,0,2,0,1,2,2,7,7,0,2,1,4,3,3,3
63,0,0,3,9,1,3,1,0,0,2,0,1,2,2,7,7,0,2,1,4,3,2,3
64,0,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,0,2,1,4,3,3,1
65,0,2,2,4,0,5,1,1,0,4,1,2,2,2,7,7,0,2,1,0,2,0,1
66,0,5,2,8,1,3,1,0,0,5,0,1,2,2,7,7,0,2,1,4,2,3,1
67,0,2,3,9,1,0,1,0,0,10,0,3,2,3,7,7,0,2,1,4,3,3,1
68,0,5,3,9,1,0,1,0,0,10,0,1,2,2,7,7,0,2,1,4,2,2,1
69,0,5,0,3,0,5,1,0,1,7,0,2,2,2,7,7,0,2,1,4,3,4,5
70,0,2,0,9,1,3,1,1,1,7,1,0,2,2,7,7,0,2,1,4,3,4,0
71,0,0,3,8,1,3,1,0,0,2,0,1,2,2,7,7,0,2,1,4,3,3,3
72,0,2,0,9,1,3,1,1,1,10,1,0,2,2,7,7,0,2,1,4,3,4,0
73,0,5,3,4,1,0,1,0,0,7,0,3,2,3,7,7,0,2,1,4,2,3,4
74,0,0,2,9,1,0,1,0,0,4,0,1,2,2,7,7,0,2,1,4,2,3,1
75,0,2,2,9,1,3,1,1,1,7,1,0,2,2,7,7,0,2,1,4,3,4,0
76,0,5,2,8,1,3,1,1,1,5,1,0,2,2,7,7,0,2,1,4,6,4,0
77,0,2,3,4,1,3,1,0,0,7,0,3,2,3,7,7,0,2,1,4,3,5,4
78,1,5,3,4,1,6,1,0,1,10,0,2,2,2,7,7,0,2,1,4,3,4,5
79,0,2,3,4,1,0,1,0,0,5,0,3,2,3,7,7,0,2,1,4,3,5,1
80,0,5,2,4,0,5,1,1,0,4,1,2,0,2,7,7,0,2,1,0,3,3,1
