,edibility,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,veilColor,ringNumber,ringType,sporePrintColor,population,habitat
0,e,x,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,g
1,e,b,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,n,m
2,p,x,y,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,s,u
3,e,x,s,g,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g
4,e,x,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,n,g
5,e,b,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m
6,e,b,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
7,p,x,y,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,g
8,e,b,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m
9,e,x,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g
10,e,x,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m
11,e,b,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
12,p,x,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
13,e,x,f,n,f,n,f,w,b,n,t,s,f,w,w,w,o,e,k,a,g
14,e,s,f,g,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,y,u
15,e,f,f,w,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g
16,p,x,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,s,g
17,p,x,y,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,s,u
18,p,x,s,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,s,u
19,e,b,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m
20,p,x,y,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g
21,e,b,y,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m
22,e,b,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
23,e,b,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m
24,p,f,s,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g
25,e,x,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,m
26,e,x,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
27,e,f,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,y,u
28,e,x,s,y,t,a,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d
29,e,b,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
30,p,x,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,s,u
31,e,x,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,n,m
32,e,x,y,n,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,y,p
33,e,b,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
34,e,x,f,y,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
35,e,s,f,g,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,v,u
36,p,x,y,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,s,u
37,e,x,f,y,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d
38,e,b,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m
39,e,b,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
40,e,x,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,y,p
41,e,x,f,n,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,y,u
42,p,x,y,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,g
43,e,x,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
44,e,x,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
45,e,x,y,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m
46,e,x,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
47,e,x,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,s,p
