,edibility,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkRoot,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,veilColor,ringNumber,ringType,sporePrintColor,population,habitat
0,1.0,5,2,4,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,3,5
1,0.0,5,2,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,1
2,0.0,0,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,3
3,1.0,5,3,8,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,2,3,5
4,0.0,5,2,3,0,5,1,1,0,4,1,2,2,2,7,7,2,1,0,3,0,1
5,0.0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,1
6,0.0,0,2,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,3
7,0.0,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,3
8,1.0,5,3,8,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,2,4,1
9,0.0,0,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,3
10,0.0,5,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,1
11,0.0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,3
12,0.0,0,2,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
13,1.0,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,3,4,5
14,0.0,5,0,4,0,5,1,1,0,5,1,2,2,0,7,7,2,1,0,2,0,1
15,,2,0,8,0,5,1,1,0,4,1,2,2,2,7,7,2,1,0,3,0,1
16,0.0,5,2,4,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,2,3,1
17,1.0,5,3,8,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,3,3,5
18,1.0,5,2,4,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,3,3,5
19,1.0,0,2,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,3
20,0.0,5,3,4,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,3,4,1
21,1.0,0,3,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,3
22,0.0,0,3,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,3
23,0.0,0,2,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,3
24,0.0,2,2,8,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,3,4,1
25,1.0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,3
26,0.0,5,3,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,3
27,0.0,2,0,4,0,5,1,0,1,4,0,2,2,2,7,7,2,1,4,2,5,5
28,0.0,5,2,9,1,0,1,1,1,5,1,0,2,2,7,7,2,1,4,3,4,0
29,0.0,0,2,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
30,0.0,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,3,3,5
31,1.0,5,3,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,3
32,0.0,0,3,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,3
33,,5,0,9,1,3,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
34,0.0,5,3,4,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,3,3,5
35,0.0,5,0,9,1,0,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
36,,0,2,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,3
37,1.0,0,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,1
38,0.0,5,0,4,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,2,5,5
39,0.0,5,3,8,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,3,4,1
40,0.0,5,2,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,3
41,,5,3,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,1
42,0.0,5,3,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,3
43,1.0,5,2,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,3
44,0.0,5,2,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,1
45,0.0,0,2,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,3
46,0.0,5,3,4,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,3,4,5
47,0.0,5,2,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,4,5
48,,0,3,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,3
49,,2,0,3,0,5,1,1,0,5,1,2,2,2,7,7,2,1,0,3,0,1
50,,0,2,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,1
51,0.0,5,2,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,2,1
52,0.0,0,3,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,3
53,1.0,0,2,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,3
54,1.0,0,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
55,0.0,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,1
56,0.0,2,2,4,0,5,1,1,0,4,1,2,2,2,7,7,2,1,0,2,0,1
57,0.0,5,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,1
58,0.0,5,3,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,1
59,,5,0,3,0,5,1,0,1,7,0,2,2,2,7,7,2,1,4,3,4,5
60,,2,0,9,1,3,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
61,0.0,0,3,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,3
62,0.0,2,0,9,1,3,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
63,0.0,0,2,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,1
64,0.0,2,2,9,1,3,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
65,0.0,5,3,4,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,3,4,5
66,0.0,5,2,4,0,5,1,1,0,4,1,2,0,2,7,7,2,1,0,3,3,1
67,,5,3,8,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,2,3,1
68,0.0,2,0,3,0,5,1,0,1,5,0,2,2,2,7,7,2,1,4,3,5,5
69,0.0,5,0,3,0,5,1,1,0,5,1,2,2,2,7,7,2,1,0,3,3,1
70,0.0,5,2,4,0,5,1,1,0,4,1,2,2,2,7,7,2,1,0,2,3,1
71,0.0,0,2,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
72,0.0,5,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,1
73,,5,0,4,0,5,1,0,1,5,0,2,2,2,7,7,2,1,4,3,5,5
